49968897,"1,08%"
50349363,"1,08%"
50428723,"1,08%"
50474600,"1,08%"
50530236,"1,09%"
50553022,"1,09%"
50564829,"1,09%"
50576155,"1,10%"
50578402,"1,10%"
50606352,"1,10%"
50606742,"1,10%"
50610414,"1,11%"
50655640,"1,11%"
50801776,"1,11%"
50869346,"1,11%"
50875759,"1,12%"
50882539,"1,12%"
50939915,"1,12%"
51029275,"1,12%"
51055136,"1,13%"
51082604,"1,13%"
51136826,"1,13%"
51137608,"1,13%"
51314353,"1,14%"
51315406,"1,14%"
51357271,"1,14%"
51417826,"1,14%"
51432155,"1,15%"
51463377,"1,15%"
51479998,"1,15%"
51529066,"1,15%"
51605378,"1,16%"
51631174,"1,16%"
51631246,"1,16%"
51672488,"1,16%"
51674968,"1,17%"
51715964,"1,17%"
51731668,"1,17%"
51746475,"1,17%"
51752865,"1,18%"
51770771,"1,18%"
51781744,"1,18%"
